Algorithm,1,2,3,4,5,6,7,8,9,10,AVG.,,
RHC,3771.692591,3430.638734,3521.456432,3537.661261,3502.110236,3713.654522,3471.783792,3389.928702,3372.440111,3492.47183,3520.383821,,"150, 25"
SA,3584.459587,3668.259277,3515.625742,3537.910478,3379.149288,3599.37979,3513.49255,3472.516432,3795.037658,3476.650371,3554.248117,,
SGA,3840.536251,3739.352059,3730.600336,3764.369555,3826.103281,3756.471528,3862.059769,3705.592685,3772.225327,3819.405887,3781.671668,,
MIMIC,3751.260679,3650.015603,3732.231267,3752.538251,3685.505469,3644.111225,3707.218455,3837.546271,3638.759318,3584.032976,3698.321951,,
,,,,,,,,,,,,,
RHC,3771.692591,3430.638734,3521.456432,3537.661261,3502.110236,3713.654522,3471.783792,3389.928702,3372.440111,3492.47183,3520.383821,,"150, 25"
SA,3584.459587,3668.259277,3515.625742,3537.910478,3379.149288,3599.37979,3513.49255,3472.516432,3795.037658,3476.650371,3554.248117,,
SGA,3840.536251,3739.352059,3730.600336,3764.369555,3826.103281,3756.471528,3862.059769,3705.592685,3772.225327,3819.405887,3781.671668,,
MIMIC,3751.260679,3650.015603,3732.231267,3752.538251,3685.505469,3644.111225,3707.218455,3837.546271,3638.759318,3584.032976,3698.321951,,
,,,,,,,,,,,,,
RHC,3249.765739,3210.220604,3079.773649,3272.372841,3250.975723,3084.715897,3094.357601,3317.953544,3214.680157,3183.392763,3195.820852,,"150, 25"
SA,3192.986413,3222.677852,3222.136906,3079.159771,3227.519496,3396.204172,2955.609928,3168.326282,3154.546932,3147.65372,3176.682147,,
SGA,3797.142233,3857.685646,3745.103646,3733.038493,3734.834823,3825.975169,3843.723124,3808.936417,3868.092545,3803.203331,3801.773543,,
MIMIC,3540.692711,3788.283336,3520.384667,3642.647991,3719.147444,3713.693946,3454.925724,3658.610483,3539.368693,3694.349645,3627.210464,,
,,,,,,,,,,,,,
RHC,4029.713989,4033.433042,3867.069355,3946.697723,3880.75126,3991.414402,3942.448104,3925.701831,3943.020099,4014.084895,3957.43347,,"150, 25"
SA,3945.736536,3993.69569,3950.666011,3880.685373,4053.624855,3987.353726,4006.991844,4017.754843,3987.094577,4050.960337,3987.456379,,
SGA,3966.912967,4094.839125,4011.00507,4078.237721,3993.361166,3943.483458,4045.416392,3999.09179,4015.75811,4067.713311,4021.581911,,
MIMIC,3681.231433,3764.705218,3735.784511,3895.566923,3949.136178,3821.653697,3996.021638,3875.823126,3967.413799,3934.807767,3862.214429,,
,,,,,,,,,,,,,
RHC,3116.276775,3190.795503,3069.080738,3099.055915,3182.431234,3040.01576,2862.23275,2900.425303,3162.318429,3149.990669,3077.262308,,"180, 25"
SA,3273.341124,2946.924364,3268.494348,3153.110886,3308.757758,3318.346116,3328.290757,3205.181991,3054.733125,3324.447571,3218.162804,,
SGA,3697.678251,3737.017596,3716.283703,3636.85336,3721.726012,3679.068836,3701.430325,3634.128225,3715.750299,3696.429765,3693.636637,,
MIMIC,3487.526255,3645.953447,3471.882724,3393.969008,3497.162063,3484.093914,3468.252286,3446.609063,3409.177292,3637.779195,3494.240525,,
Algorithm,1,2,3,4,5,6,7,8,9,10,AVG.,,
RHC,3892.435863,3770.716674,3994.053571,3921.823543,3858.451768,3784.526508,3904.822543,3941.467849,4002.262434,3923.537022,3899.409778,,"170, 25"
SA,3774.585052,3918.27252,3965.204897,3964.731893,3874.642523,4113.609932,4161.932559,3982.486175,4071.038207,3837.185793,3966.368955,,
SGA,4041.892637,4099.721626,4087.905787,4076.779895,4042.960893,4009.948782,3997.040783,4087.641765,4106.162255,4031.320408,4058.137483,,
MIMIC,3950.598563,3979.256106,4027.97794,3978.038192,3900.533039,3840.667575,3953.076889,3947.191186,3934.005527,3795.707692,3930.705271,,
,,,,,,,,,,,,,
RHC,3800.598592,3802.586171,3829.642033,3721.525337,3653.514486,3678.462873,3811.411203,3724.48302,3762.724108,3614.948693,3739.989652,,"150,60"
SA,3608.190039,3757.899559,3766.958308,3736.064932,3875.753464,3783.3032,3563.20694,3794.112586,3727.265595,3727.118018,3733.987264,,
SGA,3679.855345,3611.347605,3686.974197,3563.783752,3707.879919,3639.190853,3700.003036,3562.79724,3738.856696,3602.181859,3649.28705,,
MIMIC,3473.820983,3656.190545,3539.209178,3749.452653,3624.432963,3605.384706,3702.10767,3455.355892,3558.732315,3666.030005,3603.071691,,
,,,,,,,,,,,,,
RHC,2659.023082,2488.954419,2677.790034,2553.540849,2640.303545,2923.693372,2806.209686,2620.820767,2577.288564,2693.722487,2664.13468,,"150,100"
SA,2766.899015,2580.491838,2546.778849,2769.093591,2610.244583,2685.77672,2998.515749,2494.299699,2656.969225,2715.224927,2682.42942,,
SGA,2895.558486,3009.930886,2995.507423,2918.030508,3008.17752,3049.144455,2945.568575,3042.182916,2998.428453,2957.855806,2982.038503,,
MIMIC,2991.856944,3109.355967,3136.211414,2995.616824,3025.329507,3050.883339,2923.545186,3068.637605,3172.064148,3125.333115,3059.883405,,
