RHC,78.0,86.0,79.0,78.0,88.0,78.0,78.0,79.0,107.0,103.0
SA,106.0,102.0,105.0,104.0,104.0,112.0,112.0,105.0,112.0,112.0
SGA,106.0,102.0,105.0,104.0,104.0,112.0,112.0,105.0,112.0,112.0
MIMIC,109.0,95.0,86.0,111.0,102.0,105.0,106.0,102.0,93.0,103.0
